,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
273,274,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949
512,513,2,1,5,0,0,0,1,0.69,0.641425,0.697083,0.215171,3283,3308
646,647,4,1,10,1,1,0,2,0.383333,0.387608,0.709583,0.189679,874,4604
623,624,3,1,9,0,6,0,1,0.608333,0.585867,0.501667,0.247521,3160,5554
177,178,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854
702,703,4,1,12,0,1,1,1,0.4525,0.455796,0.7675,0.0827208,555,5679
382,383,1,1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,109,3267
383,384,1,1,1,0,4,1,1,0.19,0.190038,0.4975,0.220158,130,3162
6,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362
728,729,1,1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383,159,1182
439,440,1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,1005,5187
363,364,1,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,491,2508
435,436,1,1,3,0,0,0,1,0.361739,0.35967,0.476957,0.222587,1658,3253
182,183,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915
26,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416
472,473,2,1,4,0,2,1,1,0.608333,0.598487,0.390417,0.273629,989,5702
505,506,2,1,5,0,0,0,1,0.620833,0.583967,0.530417,0.254367,2704,4425
694,695,4,1,11,0,0,0,1,0.245833,0.257583,0.468333,0.1505,309,2115
269,270,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,477,3643
204,205,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556
709,710,4,1,12,0,1,1,2,0.435833,0.435575,0.925,0.190308,329,4841
24,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799
282,283,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603
320,321,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914
511,512,2,1,5,0,6,0,1,0.6925,0.642696,0.7325,0.198992,2855,3681
96,97,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570
18,19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572
366,367,1,1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,244,1707
658,659,4,1,10,0,6,0,1,0.484167,0.472842,0.572917,0.117537,2806,5284
504,505,2,1,5,0,6,0,1,0.6,0.566908,0.45625,0.083975,3410,4884
34,35,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620
303,304,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307
534,535,2,1,6,0,1,1,2,0.568333,0.544842,0.777917,0.174746,653,4446
271,272,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,653,4186
346,347,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368
157,158,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070
638,639,4,1,9,0,0,0,1,0.526667,0.517663,0.583333,0.134958,2015,4874
224,225,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646
318,319,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746
110,111,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444
470,471,2,1,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,2846,4286
598,599,3,1,8,0,2,1,1,0.649167,0.601025,0.67375,0.0727708,1081,5925
274,275,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302
175,176,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420
222,223,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980
626,627,3,1,9,0,2,1,2,0.623333,0.565067,0.8725,0.357587,371,3702
630,631,3,1,9,0,6,0,1,0.65,0.610488,0.646667,0.283583,2512,5883
172,173,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846
438,439,1,1,3,0,3,1,1,0.5725,0.548617,0.507083,0.115062,997,5315
594,595,3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,1483,5665
41,42,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597
462,463,2,1,4,0,6,0,1,0.4375,0.426129,0.254167,0.274871,3252,3605
408,409,1,1,2,0,1,1,1,0.2225,0.227913,0.41125,0.167283,94,3328
695,696,4,1,11,0,1,1,1,0.313333,0.339004,0.535417,0.04665,337,4750
121,122,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554
168,169,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312
720,721,1,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.374383,221,3402
160,161,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771
107,108,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760
99,100,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707
105,106,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674
301,302,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570
393,394,1,1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,558,2685
532,533,2,1,6,0,6,0,1,0.631667,0.594708,0.504167,0.166667,2963,4739
444,445,1,1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271,1051,5042
67,68,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700
701,702,4,1,12,0,0,0,2,0.3475,0.359208,0.823333,0.124379,892,3757
136,137,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445
292,293,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724
316,317,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713
648,649,4,1,10,0,3,1,1,0.514167,0.503142,0.630833,0.187821,780,6911
724,725,1,1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726,440,573
698,699,4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,243,5080
61,62,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562
343,344,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688
406,407,1,1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,192,1977
260,261,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921
608,609,3,1,8,0,5,1,1,0.764167,0.6894,0.5875,0.168533,1433,5917
151,152,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461
252,253,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595
679,680,4,1,11,0,6,0,1,0.389167,0.393937,0.645417,0.0578458,2090,4446
405,406,1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,227,3604
180,181,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488
424,425,1,1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,65,1769
25,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472
649,650,4,1,10,0,4,1,1,0.435,0.431167,0.463333,0.181596,834,6736
619,620,3,1,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542,1070,6697
272,273,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372
276,277,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970
494,495,2,1,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,620,4097
378,379,1,1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,333,2160
1,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670
100,101,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493
498,499,2,1,5,0,0,0,1,0.6125,0.585238,0.57625,0.225117,2172,3946
491,492,2,1,5,0,0,0,2,0.5625,0.546737,0.74,0.149879,2135,4224
52,53,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376
176,177,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385
194,195,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196
278,279,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126
122,123,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848
14,15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026
432,433,1,1,3,0,4,1,1,0.5275,0.524604,0.5675,0.441563,486,4896
426,427,1,1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,246,2948
621,622,3,1,9,0,4,1,1,0.6125,0.579558,0.637083,0.0827208,1054,6750
391,392,1,1,1,0,5,1,2,0.425,0.415383,0.74125,0.342667,269,3187
98,99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576
36,37,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269
28,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975
146,147,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808
684,685,4,1,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,320,5125
577,578,3,1,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425,968,6248
413,414,1,1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,1435,2883
15,16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953
460,461,2,1,4,0,4,1,1,0.435,0.431163,0.374167,0.219529,1192,5265
183,184,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367
4,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518
634,635,4,1,9,0,3,1,1,0.635,0.596613,0.630833,0.2444,787,6946
631,632,4,1,9,0,0,0,1,0.529167,0.518933,0.467083,0.223258,2454,5453
570,571,3,1,7,0,2,1,1,0.750833,0.70645,0.655,0.211454,1140,6452
152,153,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232
564,565,3,1,7,0,3,1,1,0.793333,0.745583,0.577083,0.137442,799,4914
251,252,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,417,3127
253,254,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413
688,689,4,1,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,449,5050
93,94,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381
671,672,4,1,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,618,5229
370,371,1,1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,307,3791
386,387,1,1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,196,1781
518,519,2,1,6,0,6,0,1,0.583333,0.566288,0.549167,0.186562,2795,5325
178,179,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916
403,404,1,1,2,0,3,1,2,0.256667,0.266421,0.722917,0.133721,109,2693
458,459,2,1,4,0,2,1,1,0.466667,0.461483,0.396667,0.100133,1348,5424
94,95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628
459,460,2,1,4,0,3,1,1,0.541667,0.53345,0.469583,0.180975,1058,5378
229,230,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166
277,278,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267
537,538,3,1,6,0,4,1,1,0.805833,0.752542,0.567917,0.118787,778,5127
337,338,4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851
637,638,4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,2589,5966
112,113,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574
127,128,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932
627,628,3,1,9,0,3,1,1,0.5525,0.540404,0.536667,0.215175,788,6803
295,296,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762
329,330,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819
561,562,3,1,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,1920,4111
153,154,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414
219,220,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480
193,194,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594
710,711,4,1,12,0,2,1,2,0.353333,0.338363,0.596667,0.296037,282,5219
324,325,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220,2545
681,682,4,1,11,1,1,0,1,0.485,0.475383,0.741667,0.173517,1097,5172
677,678,4,1,11,0,4,1,1,0.352174,0.341891,0.333478,0.347835,340,4975
284,285,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199
126,127,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102
139,140,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008
590,591,3,1,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,1207,5676
309,310,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697
706,707,4,1,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,349,4659
263,264,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,539,3813
392,393,1,1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,775,3248
582,583,3,1,8,0,0,0,1,0.769167,0.731079,0.6525,0.290421,1707,3757
307,308,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576
395,396,1,1,1,0,2,1,1,0.39,0.381317,0.416667,0.261817,324,4185
162,163,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993
359,360,1,0,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465,430,887
575,576,3,1,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396,2153,4444
156,157,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875
651,652,4,1,10,0,6,0,1,0.393333,0.391396,0.494583,0.146142,2252,4857
202,203,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825
389,390,1,1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,467,3803
488,489,2,1,5,0,4,1,2,0.56,0.537242,0.768333,0.133696,764,5657
529,530,2,1,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279,1173,6248
415,416,1,1,2,1,1,0,1,0.28,0.273391,0.507826,0.229083,502,2627
593,594,3,1,8,0,4,1,1,0.719167,0.654688,0.519167,0.141796,1338,6267
604,605,3,1,8,0,1,1,1,0.703333,0.654688,0.730417,0.128733,989,5928
213,214,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044
440,441,1,1,3,0,5,1,2,0.435833,0.436229,0.842083,0.113192,548,3830
9,10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280
345,346,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167
548,549,3,1,7,0,1,1,1,0.781667,0.702038,0.447083,0.195267,904,5323
596,597,3,1,8,0,0,0,2,0.635833,0.603554,0.711667,0.08645,1208,3341
40,41,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491
463,464,2,1,4,0,0,0,1,0.5,0.492425,0.275833,0.232596,2230,2939
546,547,3,1,6,0,6,0,1,0.765,0.687508,0.60125,0.161071,1455,4232
242,243,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370
437,438,1,1,3,0,2,1,1,0.565,0.542929,0.6175,0.23695,762,5085
418,419,1,1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913,516,4546
524,525,2,1,6,0,5,1,1,0.649167,0.597862,0.467917,0.175383,1488,6248
129,130,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109
453,454,2,1,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,834,5299
660,661,4,1,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,830,6228
714,715,4,1,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635,767,4280
159,160,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352
347,348,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562
579,580,3,1,8,0,4,1,1,0.7525,0.707088,0.659583,0.129354,983,6278
500,501,2,1,5,0,2,1,2,0.611667,0.576404,0.794583,0.147392,625,4490
68,69,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577
32,33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454
558,559,3,1,7,0,4,1,1,0.715833,0.654683,0.529583,0.146775,1032,6414
620,621,3,1,9,0,3,1,1,0.599167,0.570075,0.577083,0.131846,1050,6820
509,510,2,1,5,0,4,1,1,0.655,0.6067,0.716667,0.172896,1059,5711
722,723,1,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083,408,1379
628,629,3,1,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167,939,6781
610,611,3,1,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,2613,3197
530,531,2,1,6,0,4,1,1,0.648333,0.624383,0.569583,0.253733,1180,6183
214,215,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107
190,191,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138
38,39,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466
665,666,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,2643,5209
428,429,1,1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,710,2713
553,554,3,1,7,0,6,0,1,0.861667,0.804913,0.492083,0.163554,1448,3392
147,148,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757
186,187,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845
312,313,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804
560,561,3,1,7,0,6,0,2,0.703333,0.666042,0.699167,0.143679,2355,4614
556,557,3,1,7,0,2,1,2,0.720833,0.664796,0.6675,0.151737,954,5336
119,120,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347
281,282,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114
466,467,2,1,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274,482,4380
672,673,4,1,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529,1029,4109
484,485,2,1,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908,2229,4075
531,532,2,1,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,1563,6102
167,168,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981
138,139,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840
384,385,1,1,1,0,5,1,2,0.2175,0.220958,0.45,0.20275,115,3048
483,484,2,1,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,1120,3100
642,643,4,1,10,0,4,1,2,0.6575,0.607975,0.722917,0.117546,891,6437
411,412,1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,74,2931
116,117,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325
450,451,2,1,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,795,4763
613,614,3,1,9,0,3,1,1,0.736667,0.708983,0.74125,0.187808,832,6280
114,115,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300
287,288,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318
261,262,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848
58,59,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365
125,126,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714
145,146,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919
585,586,3,1,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,1263,6271
464,465,2,1,4,0,1,1,1,0.489167,0.476638,0.3175,0.358196,905,4680
228,229,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026
422,423,1,1,2,0,1,1,1,0.366667,0.357954,0.490833,0.268033,253,4069
485,486,2,1,4,0,1,1,2,0.464167,0.457696,0.57,0.171638,665,4907
540,541,3,1,6,0,0,0,1,0.743333,0.674254,0.479167,0.145525,2551,4340
230,231,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356
19,20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844
241,242,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429
670,671,4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,466,5520
29,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956
519,520,2,1,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,2494,5147
471,472,2,1,4,1,1,0,1,0.664167,0.614925,0.561667,0.284829,1198,5172
687,688,4,1,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,922,3747
379,380,1,1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,284,2027
486,487,2,1,5,0,2,1,2,0.613333,0.577021,0.659583,0.156096,653,5087
476,477,2,1,4,0,6,0,1,0.57,0.542921,0.682917,0.283587,2541,4083
689,690,4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,534,5100
713,714,4,1,12,0,5,1,1,0.281667,0.294192,0.642917,0.131229,429,5182
387,388,1,1,1,0,1,1,2,0.218333,0.243058,0.91125,0.110708,145,2287
588,589,3,1,8,0,6,0,2,0.6925,0.638267,0.732917,0.206479,2247,4052
400,401,1,1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,318,2629
501,502,2,1,5,0,3,1,1,0.636667,0.595975,0.697917,0.122512,991,6433
609,610,3,1,9,0,6,0,2,0.753333,0.702654,0.638333,0.113187,2352,3788
246,247,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419
322,323,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720
142,143,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438
543,544,3,1,6,0,3,1,1,0.6975,0.640792,0.36,0.271775,1077,6258
721,722,1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,205,1544
510,511,2,1,5,0,5,1,1,0.68,0.627529,0.747083,0.14055,1417,5317
80,81,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243
693,694,4,1,11,0,6,0,1,0.278333,0.248742,0.404583,0.376871,532,1745
409,410,1,1,2,0,2,1,2,0.319167,0.333946,0.50875,0.141179,135,3787
12,13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368
